Jour;Durée (h);Début;Fin;Activité;Salles;Enseignants;Code;Type;Formations
Lundi 13/11/2023;01h30;10h40;12h10;G01 - Algebre S3;G 512 (45*-TB) Bat. Allais;MILLER Luc;4E3MF303;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres
Lundi 13/11/2023;02h00;10h40;12h40;G02 - Analyse et Probas S3;G 205 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF301;TD;TD07 - DL economie-Maths
Lundi 13/11/2023;01h30;12h20;13h50;G04 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;PRADAT-PEYRE Jean-Francois;4E3MF304;TD;
Lundi 13/11/2023;01h30;13h30;15h00;Algebre S3;G 110 (80*-TB-V) Bat. Allais;MILLER Luc;4E3MF303;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Lundi 13/11/2023;02h00;13h30;15h30;G02 - Introduction BD;BFC 222 (35*) Bat. Formation Continue;ANANI Thibault;4E3MF302;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Lundi 13/11/2023;02h00;13h30;15h30;G03 - Introduction BD;G 213C (30*-TB) Bat. Allais;NAFI Mohammed;4E3MF302;TD;TD08 - MIASHS parcours MIAGE
Lundi 13/11/2023;02h00;15h40;17h40;Analyse et Probas S3;G AMPHI D (180*) Bat. Allais;ROBERTO Cyril;4E3MF301;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths, TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE, TD10 - DL Gestion-Informatique
Mardi 14/11/2023;01h30;10h10;11h40;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mardi 14/11/2023;02h00;10h40;12h40;G04 - Analyse et Probas S3;G 412 (40*-TB-V) Bat. Allais;BARRET Florent;4E3MF301;TD;
Mardi 14/11/2023;01h30;11h10;12h40;G01 - Algebre S3;G 512 (45*-TB) Bat. Allais;MILLER Luc;4E3MF303;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres
Mardi 14/11/2023;02h00;11h10;13h10;G02 - Analyse et Probas S3;G 205 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF301;TD;TD07 - DL economie-Maths
Mardi 14/11/2023;01h30;11h50;13h20;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mardi 14/11/2023;02h00;13h30;15h30;G01 - Analyse et Probas S3;G 109 (30*-TB-V) Bat. Allais;ESSIFI Rim;4E3MF301;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD10 - DL Gestion-Informatique
Mardi 14/11/2023;01h30;15h40;17h10;G02 - Algebre S3;G 204 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF303;TD;TD07 - DL economie-Maths
Mercredi 15/11/2023;01h30;11h10;12h40;G02 - Algebre S3;G 204 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF303;TD;TD07 - DL economie-Maths
Jeudi 16/11/2023;02h00;08h30;10h30;OS utilisateur;G 110 (80*-TB-V) Bat. Allais;ANANI Thibault;4E3MC305;CM;TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE
Jeudi 16/11/2023;01h30;10h40;12h10;Introduction BD;G AMPHI E (180*) Bat. Allais;KMIMECH Hichem;4E3MF302;CM;OG3 MIASHS
Jeudi 16/11/2023;02h00;13h30;15h30;G03 - Analyse et Probas S3;N 16 (36*) Bat. Ephemere 2;ROBERTO Cyril;4E3MF301;TD;TD08 - MIASHS parcours MIAGE
Jeudi 16/11/2023;02h00;13h30;15h30;G01 - Introduction BD;G 213C (30*-TB) Bat. Allais;KMIMECH Hichem;4E3MF302;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Jeudi 16/11/2023;02h00;13h30;15h30;G02 - OS utilisateur;G 201 (30*-LINUX-TB-V) Bat. Allais;ANANI Thibault;4E3MC305;TD;
Jeudi 16/11/2023;02h00;15h40;17h40;G04 - Analyse et Probas S3;G 204 (25*-TB-V) Bat. Allais;BARRET Florent;4E3MF301;TD;
Jeudi 16/11/2023;02h00;15h40;17h40;G03 - OS utilisateur;G 201 (30*-LINUX-TB-V) Bat. Allais;ANANI Thibault;4E3MC305;TD;TD08 - MIASHS parcours MIAGE
Vendredi 17/11/2023;02h00;10h40;12h40;Algorithmique et programmation S3;G AMPHI D (180*) Bat. Allais;DELBOT Francois;4E3MF304;CM;TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE, TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Vendredi 17/11/2023;02h00;13h30;15h30;G03 - Analyse et Probas S3;G 409 (30*-TB-V) Bat. Allais;ROBERTO Cyril;4E3MF301;TD;TD08 - MIASHS parcours MIAGE
Vendredi 17/11/2023;01h30;14h00;15h30;G05 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;DELBOT Francois;4E3MF304;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Vendredi 17/11/2023;01h30;15h40;17h10;G05 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;DELBOT Francois;4E3MF304;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Lundi 20/11/2023;02h00;08h30;10h30;G01 - Analyse et Probas S3;G 512 (45*-TB) Bat. Allais;ESSIFI Rim;4E3MF301;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD10 - DL Gestion-Informatique
Lundi 20/11/2023;01h30;10h40;12h10;G04 - Algorithmique et programmation S3;G 214 (20*-TB-V) Bat. Allais;PRADAT-PEYRE Jean-Francois;4E3MF304;TD;
Lundi 20/11/2023;01h30;10h40;12h10;G01 - Algebre S3;G 512 (45*-TB) Bat. Allais;MILLER Luc;4E3MF303;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres
Lundi 20/11/2023;02h00;10h40;12h40;G02 - Analyse et Probas S3;G 205 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF301;TD;TD07 - DL economie-Maths
Lundi 20/11/2023;01h30;12h20;13h50;G04 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;PRADAT-PEYRE Jean-Francois;4E3MF304;TD;
Lundi 20/11/2023;01h30;13h30;15h00;Algebre S3;G 110 (80*-TB-V) Bat. Allais;MILLER Luc;4E3MF303;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Lundi 20/11/2023;02h00;13h30;15h30;G02 - Introduction BD;BFC 222 (35*) Bat. Formation Continue;ANANI Thibault;4E3MF302;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Lundi 20/11/2023;02h00;13h30;15h30;G03 - Introduction BD;G 213C (30*-TB) Bat. Allais;NAFI Mohammed;4E3MF302;TD;TD08 - MIASHS parcours MIAGE
Lundi 20/11/2023;02h00;15h40;17h40;Analyse et Probas S3;G AMPHI D (180*) Bat. Allais;ROBERTO Cyril;4E3MF301;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths, TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE, TD10 - DL Gestion-Informatique
Mardi 21/11/2023;01h30;10h10;11h40;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mardi 21/11/2023;02h00;10h40;12h40;G04 - Analyse et Probas S3;G 412 (40*-TB-V) Bat. Allais;BARRET Florent;4E3MF301;TD;
Mardi 21/11/2023;01h30;11h10;12h40;G01 - Algebre S3;G 512 (45*-TB) Bat. Allais;MILLER Luc;4E3MF303;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres
Mardi 21/11/2023;02h00;11h10;13h10;G02 - Analyse et Probas S3;G 205 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF301;TD;TD07 - DL economie-Maths
Mardi 21/11/2023;01h30;11h50;13h20;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mardi 21/11/2023;02h00;13h30;15h30;G01 - Analyse et Probas S3;G 109 (30*-TB-V) Bat. Allais;ESSIFI Rim;4E3MF301;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD10 - DL Gestion-Informatique
Mardi 21/11/2023;01h30;14h30;16h00;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mardi 21/11/2023;01h30;15h40;17h10;G02 - Algebre S3;G 204 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF303;TD;TD07 - DL economie-Maths
Mardi 21/11/2023;01h30;16h10;17h40;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mercredi 22/11/2023;01h30;11h10;12h40;G02 - Algebre S3;G 204 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF303;TD;TD07 - DL economie-Maths
Jeudi 23/11/2023;02h00;08h30;10h30;OS utilisateur;G 110 (80*-TB-V) Bat. Allais;PRADAT-PEYRE Jean-Francois;4E3MC305;CM;TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE
Jeudi 23/11/2023;01h30;10h40;12h10;Introduction BD;G AMPHI E (180*) Bat. Allais;KMIMECH Hichem;4E3MF302;CM;OG3 MIASHS
Jeudi 23/11/2023;02h00;13h30;15h30;G03 - Analyse et Probas S3;N 16 (36*) Bat. Ephemere 2;ROBERTO Cyril;4E3MF301;TD;TD08 - MIASHS parcours MIAGE
Jeudi 23/11/2023;02h00;13h30;15h30;G01 - Introduction BD;G 213C (30*-TB) Bat. Allais;KMIMECH Hichem;4E3MF302;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Jeudi 23/11/2023;02h00;13h30;15h30;G02 - OS utilisateur;G 201 (30*-LINUX-TB-V) Bat. Allais;ANANI Thibault;4E3MC305;TD;
Jeudi 23/11/2023;02h00;15h40;17h40;G04 - Analyse et Probas S3;G 204 (25*-TB-V) Bat. Allais;BARRET Florent;4E3MF301;TD;
Jeudi 23/11/2023;02h00;15h40;17h40;G03 - OS utilisateur;G 201 (30*-LINUX-TB-V) Bat. Allais;ANANI Thibault;4E3MC305;TD;TD08 - MIASHS parcours MIAGE
Vendredi 24/11/2023;02h00;10h40;12h40;Algorithmique et programmation S3;G AMPHI D (180*) Bat. Allais;DELBOT Francois;4E3MF304;CM;TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE, TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Vendredi 24/11/2023;02h00;13h30;15h30;G03 - Analyse et Probas S3;G 409 (30*-TB-V) Bat. Allais;ROBERTO Cyril;4E3MF301;TD;TD08 - MIASHS parcours MIAGE
Vendredi 24/11/2023;01h30;14h00;15h30;G05 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;DELBOT Francois;4E3MF304;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Vendredi 24/11/2023;01h30;15h40;17h10;G05 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;DELBOT Francois;4E3MF304;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Lundi 27/11/2023;02h00;08h30;10h30;G01 - Analyse et Probas S3;G 512 (45*-TB) Bat. Allais;ESSIFI Rim;4E3MF301;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD10 - DL Gestion-Informatique
Lundi 27/11/2023;01h30;10h40;12h10;G04 - Algorithmique et programmation S3;G 214 (20*-TB-V) Bat. Allais;PRADAT-PEYRE Jean-Francois;4E3MF304;TD;
Lundi 27/11/2023;01h30;10h40;12h10;G01 - Algebre S3;G 512 (45*-TB) Bat. Allais;MILLER Luc;4E3MF303;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres
Lundi 27/11/2023;02h00;10h40;12h40;G02 - Analyse et Probas S3;G 205 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF301;TD;TD07 - DL economie-Maths
Lundi 27/11/2023;01h30;12h20;13h50;G04 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;PRADAT-PEYRE Jean-Francois;4E3MF304;TD;
Lundi 27/11/2023;01h30;13h30;15h00;Algebre S3;G 110 (80*-TB-V) Bat. Allais;MILLER Luc;4E3MF303;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Lundi 27/11/2023;02h00;13h30;15h30;G02 - Introduction BD;BFC 222 (35*) Bat. Formation Continue;ANANI Thibault;4E3MF302;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Lundi 27/11/2023;02h00;13h30;15h30;G03 - Introduction BD;G 213C (30*-TB) Bat. Allais;NAFI Mohammed;4E3MF302;TD;TD08 - MIASHS parcours MIAGE
Lundi 27/11/2023;02h00;15h40;17h40;Analyse et Probas S3;G AMPHI D (180*) Bat. Allais;ROBERTO Cyril;4E3MF301;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths, TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE, TD10 - DL Gestion-Informatique
Mardi 28/11/2023;01h30;10h10;11h40;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mardi 28/11/2023;02h00;10h40;12h40;G04 - Analyse et Probas S3;G 412 (40*-TB-V) Bat. Allais;BARRET Florent;4E3MF301;TD;
Mardi 28/11/2023;01h30;11h10;12h40;G01 - Algebre S3;G 512 (45*-TB) Bat. Allais;MILLER Luc;4E3MF303;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres
Mardi 28/11/2023;02h00;11h10;13h10;G02 - Analyse et Probas S3;G 205 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF301;TD;TD07 - DL economie-Maths
Mardi 28/11/2023;01h30;11h50;13h20;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mardi 28/11/2023;02h00;13h30;15h30;G01 - Analyse et Probas S3;G 310A (35*-TB-V) Bat. Allais;ESSIFI Rim;4E3MF301;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD10 - DL Gestion-Informatique
Mardi 28/11/2023;01h30;15h40;17h10;G02 - Algebre S3;G 204 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF303;TD;TD07 - DL economie-Maths
Mercredi 29/11/2023;01h30;11h10;12h40;G02 - Algebre S3;G 204 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF303;TD;TD07 - DL economie-Maths
Jeudi 30/11/2023;01h30;10h40;12h10;Introduction BD;G AMPHI E (180*) Bat. Allais;KMIMECH Hichem;4E3MF302;CM;OG3 MIASHS
Jeudi 30/11/2023;02h00;13h30;15h30;G03 - Analyse et Probas S3;N 16 (36*) Bat. Ephemere 2;ROBERTO Cyril;4E3MF301;TD;TD08 - MIASHS parcours MIAGE
Jeudi 30/11/2023;02h00;13h30;15h30;G01 - Introduction BD;G 213C (30*-TB) Bat. Allais;KMIMECH Hichem;4E3MF302;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Jeudi 30/11/2023;02h00;15h40;17h40;G04 - Analyse et Probas S3;G 207 (25*-TB) Bat. Allais;BARRET Florent;4E3MF301;TD;
Vendredi 01/12/2023;02h00;10h40;12h40;Algorithmique et programmation S3;G AMPHI D (180*) Bat. Allais;DELBOT Francois;4E3MF304;CM;TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE, TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Vendredi 01/12/2023;02h00;13h30;15h30;G03 - Analyse et Probas S3;G 409 (30*-TB-V) Bat. Allais;ROBERTO Cyril;4E3MF301;TD;TD08 - MIASHS parcours MIAGE
Vendredi 01/12/2023;01h30;14h00;15h30;G05 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;DELBOT Francois;4E3MF304;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Vendredi 01/12/2023;01h30;15h40;17h10;G05 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;DELBOT Francois;4E3MF304;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Lundi 04/12/2023;02h00;13h30;15h30;G03 - Introduction BD;G 213C (30*-TB) Bat. Allais;NAFI Mohammed;4E3MF302;TD;TD08 - MIASHS parcours MIAGE
Lundi 11/12/2023;02h00;08h30;10h30;G01 - Analyse et Probas S3;G 512 (45*-TB) Bat. Allais;ESSIFI Rim;4E3MF301;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD10 - DL Gestion-Informatique
Lundi 11/12/2023;01h30;10h40;12h10;G04 - Algorithmique et programmation S3;G 214 (20*-TB-V) Bat. Allais;PRADAT-PEYRE Jean-Francois;4E3MF304;TD;
Lundi 11/12/2023;01h30;10h40;12h10;G01 - Algebre S3;G 512 (45*-TB) Bat. Allais;MILLER Luc;4E3MF303;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres
Lundi 11/12/2023;02h00;10h40;12h40;G02 - Analyse et Probas S3;G 205 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF301;TD;TD07 - DL economie-Maths
Lundi 11/12/2023;01h30;12h20;13h50;G04 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;PRADAT-PEYRE Jean-Francois;4E3MF304;TD;
Lundi 11/12/2023;02h00;13h30;15h30;G02 - Introduction BD;G 213A (35*-TB-V) Bat. Allais;ANANI Thibault;4E3MF302;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Lundi 11/12/2023;02h00;13h30;15h30;G03 - Introduction BD;G 213C (30*-TB) Bat. Allais;NAFI Mohammed;4E3MF302;TD;TD08 - MIASHS parcours MIAGE
Mardi 12/12/2023;01h30;10h10;11h40;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mardi 12/12/2023;02h00;10h40;12h40;G04 - Analyse et Probas S3;G 413A (45*-TB-V) Bat. Allais;BARRET Florent;4E3MF301;TD;
Mardi 12/12/2023;01h30;11h10;12h40;G01 - Algebre S3;G 412 (40*-TB-V) Bat. Allais;MILLER Luc;4E3MF303;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres
Mardi 12/12/2023;02h00;11h10;13h10;G02 - Analyse et Probas S3;G 205 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF301;TD;TD07 - DL economie-Maths
Mardi 12/12/2023;01h30;11h50;13h20;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mardi 12/12/2023;02h00;13h30;15h30;G01 - Analyse et Probas S3;G 109 (30*-TB-V) Bat. Allais;ESSIFI Rim;4E3MF301;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD10 - DL Gestion-Informatique
Mardi 12/12/2023;01h30;15h40;17h10;G02 - Algebre S3;G 204 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF303;TD;TD07 - DL economie-Maths
Mercredi 13/12/2023;01h30;11h10;12h40;G02 - Algebre S3;G 204 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF303;TD;TD07 - DL economie-Maths
Jeudi 14/12/2023;01h30;10h40;12h10;Introduction BD;G AMPHI E (180*) Bat. Allais;KMIMECH Hichem;4E3MF302;CM;OG3 MIASHS
Jeudi 14/12/2023;02h00;13h30;15h30;G03 - Analyse et Probas S3;N 16 (36*) Bat. Ephemere 2;ROBERTO Cyril;4E3MF301;TD;TD08 - MIASHS parcours MIAGE
Jeudi 14/12/2023;02h00;13h30;15h30;G01 - Introduction BD;G 213C (30*-TB) Bat. Allais;KMIMECH Hichem;4E3MF302;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Jeudi 14/12/2023;02h00;15h40;17h40;G04 - Analyse et Probas S3;G 207 (25*-TB) Bat. Allais;BARRET Florent;4E3MF301;TD;
Vendredi 15/12/2023;02h00;13h30;15h30;G03 - Analyse et Probas S3;G 409 (30*-TB-V) Bat. Allais;ROBERTO Cyril;4E3MF301;TD;TD08 - MIASHS parcours MIAGE
Vendredi 15/12/2023;01h30;14h00;15h30;G05 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;DELBOT Francois;4E3MF304;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Vendredi 15/12/2023;01h30;15h40;17h10;G05 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;DELBOT Francois;4E3MF304;TD;TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
